id,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
395,5,23,1,1,7,1,0,-0.699565217391303,1
396,5,3,0,0,0,1,0,3.620000000000001,1
397,5,6,0,0,2,0,0,4.335000000000001,1
398,5,237,12,3,44,11,0,7.814050632911396,1
399,5,7,0,0,0,1,0,0.23714285714285666,1
400,1,120,6,4,22,10,0,8.43341666666667,1
401,2,80,1,2,13,7,0,6.587500000000002,0
402,5,62,4,2,14,9,2,4.62822580645161,1
403,5,29,2,0,5,5,0,6.141264367816092,1
404,5,14,0,0,0,0,0,15.848571428571425,1
405,5,12,2,0,3,1,0,1.4475000000000016,1
406,5,1,0,0,0,0,0,21.46,1
407,4,124,3,10,29,11,0,5.5402688172043,0
408,1,46,2,1,6,7,0,3.853043478260865,1
409,4,14,0,1,4,2,0,2.7711904761904727,0
410,4,26,2,1,5,3,0,1.9173076923076913,0
411,4,2,0,0,0,1,0,-6.300000000000001,0
412,5,20,1,0,4,3,0,-0.9051666666666698,1
413,5,153,12,5,29,12,1,6.494901960784311,1
414,5,15,0,0,4,3,0,3.678000000000001,1
415,5,21,2,0,6,2,0,3.8257142857142874,1
416,5,9,0,0,2,2,0,2.2766666666666637,1
417,4,12,1,0,3,3,0,0.08750000000000213,0
418,3,130,4,5,24,11,0,5.537991452991452,0
419,3,8,0,0,0,1,0,1.9987500000000011,0
420,4,65,1,0,9,4,0,5.7215384615384615,0
421,5,21,1,1,4,3,0,0.6857142857142868,1
422,5,98,4,5,23,7,0,4.423197278911566,1
423,4,29,2,1,5,5,0,3.380229885057471,0
424,5,35,2,2,7,5,0,8.716857142857144,1
425,5,80,8,1,15,11,0,4.665416666666669,1
426,1,99,7,5,25,5,0,1.7415151515151521,1
427,5,72,4,2,13,10,0,2.625,1
428,5,112,6,1,20,11,1,5.398472222222221,1
429,5,6,1,0,2,0,0,-1.1600000000000001,1
430,4,9,0,0,0,2,0,4.666666666666668,0
431,4,97,4,1,16,10,0,9.583556701030929,0
432,5,48,3,5,10,6,0,0.8674431818181816,1
433,5,20,1,0,2,4,0,8.587500000000002,1
434,4,133,9,4,30,8,0,3.670451127819547,0
435,5,639,30,17,112,40,2,5.525734406438634,1
436,2,144,8,7,26,11,0,6.227708333333332,0
437,1,478,26,19,98,26,1,12.572421855771594,1
438,4,42,7,2,6,3,0,2.435714285714287,0
439,5,1106,29,24,186,105,2,9.981774199051486,1
440,3,115,9,5,22,11,0,7.361942028985503,0
441,5,6,0,0,0,2,1,1.1950000000000003,1
442,4,24,0,0,4,6,0,6.512499999999999,0
443,5,21,2,0,4,3,0,4.902857142857144,1
444,5,33,1,1,8,2,0,5.193636363636365,1
445,4,178,1,3,34,16,0,12.373443017656498,0
446,5,14,2,1,4,1,0,-2.11785714285714,1
447,4,34,0,1,3,6,0,5.154607843137256,0
448,5,498,30,18,108,40,0,5.310457122608078,1
449,5,313,5,11,56,25,0,6.348546325878594,1
450,5,13,0,1,4,2,0,5.35923076923077,1
451,2,69,3,0,13,6,0,10.411739130434782,0
452,5,28,3,1,6,2,0,0.8991666666666696,1
453,5,4,0,0,0,0,0,11.362500000000004,1
454,5,26,0,1,4,5,1,5.5403846153846175,1
455,1,21,0,2,7,3,1,5.800000000000001,1
456,5,25,0,2,3,4,0,1.8537999999999997,1
457,4,510,21,21,93,44,0,6.572515212981742,0
458,4,26,2,1,7,1,0,7.71423076923077,0
459,1,58,0,0,11,6,0,6.458275862068966,1
460,1,29,0,1,7,2,0,3.7206896551724107,1
461,1,137,11,7,33,10,0,4.259999999999998,1
462,1,97,9,5,23,4,0,4.182302405498284,1
463,5,66,4,1,8,7,0,10.013181818181817,1
464,4,40,1,2,8,4,1,4.665416666666669,0
465,3,44,2,1,8,1,0,0.23386363636363683,0
