id,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
1621,12,1,0,2,0,0,5.765000000000001,1
1622,109,3,5,19,9,0,5.973512450851899,1
1623,10,0,0,0,4,0,12.301000000000002,1
1624,10,0,0,1,3,0,6.649000000000001,1
1625,109,4,4,25,16,0,8.005718654434247,0
1626,36,3,2,8,4,0,3.671666666666667,1
1627,10,1,0,3,2,0,0.8520000000000003,1
1628,103,4,6,17,9,0,5.95607489597781,1
1629,222,13,12,36,9,0,3.8904885654885675,0
1630,116,8,5,23,10,0,7.320287356321835,1
1631,67,4,2,13,6,0,4.961691542288559,1
1632,12,0,0,2,3,0,5.765000000000001,0
1633,117,8,8,29,14,0,6.330732600732599,0
1634,16,2,1,5,1,0,6.881875000000001,1
1635,11,2,0,4,0,0,2.0536363636363646,1
1636,112,6,1,21,12,0,8.269642857142859,1
1637,15,1,2,2,3,0,-0.7240000000000002,1
1638,84,4,5,19,9,0,4.85857142857143,0
1639,64,1,2,17,6,0,4.262834821428569,0
1640,32,1,1,4,2,0,12.0853125,1
1641,290,7,8,51,32,4,6.979218390804597,1
1642,40,1,1,7,4,0,3.234250000000003,1
1643,123,5,7,29,8,0,8.425853658536585,0
1644,20,1,2,3,0,0,-0.18049999999999855,0
1645,17,3,0,2,0,0,8.403529411764708,1
1646,14,0,0,2,2,0,7.774285714285714,0
1647,311,10,18,67,28,1,10.137625172255397,1
1648,111,4,2,22,9,0,7.672355212355214,1
1649,29,3,0,6,5,0,8.882758620689657,0
1650,26,1,2,6,4,0,0.2941025641025625,0
1651,125,10,6,23,13,0,9.258506666666669,0
1652,42,0,1,8,6,0,7.550000000000001,0
1653,48,0,1,5,10,0,5.17625,0
1654,9,1,0,1,1,0,1.3866666666666667,1
1655,102,6,5,22,9,0,6.187058823529412,1
1656,43,1,3,7,7,0,4.88651162790698,1
1657,13,0,0,3,1,0,3.9207692307692312,1
1658,15,1,0,2,2,0,8.992,1
1659,14,2,0,2,1,0,3.9378571428571405,1
1660,47,1,2,5,7,0,6.218723404255318,1
1661,10,0,1,3,2,0,3.8230000000000004,0
1662,81,2,3,11,12,0,5.73,0
1663,111,11,0,24,10,0,7.466216216216218,1
1664,50,6,1,14,1,0,4.424533333333336,1
1665,27,1,1,7,2,0,5.2066666666666634,1
1666,81,3,4,12,4,0,9.221296296296295,1
1667,24,1,1,5,4,0,2.428750000000001,0
1668,56,3,3,10,7,0,4.241785714285712,1
1669,116,6,3,20,15,0,6.493668582375477,1
1670,39,2,1,8,4,0,7.170769230769231,1
1671,25,2,1,3,2,0,0.6346666666666678,1
1672,40,4,2,8,2,0,3.9407500000000013,1
1673,24,1,1,4,4,0,4.195,1
1674,32,0,2,7,2,0,3.470625000000002,1
1675,88,5,2,16,8,0,6.509583333333332,1
1676,29,5,0,6,2,1,10.285862068965518,1
1677,35,1,1,6,2,0,4.454476190476189,1
1678,29,0,2,7,2,0,3.7960344827586177,1
1679,14,1,0,3,2,0,2.592142857142857,1
1680,28,1,1,7,4,0,5.419285714285714,0
1681,32,2,2,5,4,0,0.6740625000000016,1
1682,41,3,3,8,4,0,3.224268292682929,1
1683,109,2,3,18,12,0,8.610672782874616,0
1684,130,6,4,28,13,1,5.317615384615387,0
1685,50,4,3,11,4,0,4.330333333333336,0
1686,78,6,0,15,2,1,6.133461538461539,1
1687,133,6,6,25,11,0,9.980701754385969,1
1688,158,3,4,23,16,0,7.940822784810127,0
1689,102,7,5,18,14,0,6.371764705882352,0
1690,117,6,6,27,10,1,5.3243223443223435,1
1691,44,3,1,8,3,0,7.3124242424242425,1
1692,60,4,1,10,4,0,4.352,1
1693,115,6,4,18,10,1,5.58045652173913,1
1694,28,1,1,4,2,0,5.419285714285714,1
1695,11,0,0,3,2,0,2.0536363636363646,0
1696,54,4,1,10,7,0,4.945,1
1697,59,6,3,13,5,0,5.3057627118644035,1
1698,75,4,5,13,5,0,6.982400000000002,1
1699,15,0,0,2,1,0,3.968,1
1700,22,0,1,6,1,0,1.076666666666668,1
1701,25,0,3,5,1,1,10.2868,0
1702,131,8,11,36,8,0,4.472052586938087,1
1703,96,6,5,18,5,0,5.41,1
1704,81,1,5,20,11,0,3.869259259259259,0
1705,23,2,0,6,2,0,2.881594202898551,1
1706,41,5,6,9,2,0,3.8690243902439008,1
1707,54,3,3,9,8,0,1.8505555555555588,0
1708,113,7,3,18,13,0,7.898950695322377,1
1709,50,3,2,10,6,0,2.2216000000000022,1
1710,23,1,0,3,1,0,3.569565217391304,1
1711,53,2,3,12,5,0,5.176918238993714,0
1712,49,2,2,8,7,0,4.880714285714287,1
1713,14,1,1,1,2,0,-0.09928571428571331,0
1714,34,2,0,7,1,0,1.8299019607843157,1
1715,59,2,4,11,6,0,8.201299435028247,0
1716,176,8,3,31,20,0,2.158288770053474,0
1717,14,1,0,2,3,0,10.129285714285714,1
1718,66,8,1,13,5,0,6.293636363636367,1
1719,124,7,7,27,8,0,6.87488479262673,0
1720,30,2,2,8,2,0,3.200999999999997,0
1721,17,3,2,6,2,0,-0.002352941176472001,0
1722,45,3,1,9,5,0,6.803000000000001,1
1723,54,3,2,8,6,0,6.253333333333334,1
1724,24,1,1,5,2,0,8.625,1
1725,11,0,0,2,2,0,8.904545454545456,1
1726,27,2,0,7,3,0,2.9566666666666634,1
1727,43,4,3,12,1,0,1.2515116279069751,1
1728,120,4,4,23,17,0,9.17625,0
1729,88,6,0,12,9,0,5.425568181818182,1
1730,352,28,16,72,22,0,7.10749368686869,1
1731,67,4,3,14,9,0,6.429850746268656,1
1732,40,1,2,6,3,0,3.7052499999999995,1
1733,24,1,1,5,3,0,5.923750000000002,1
1734,50,2,4,10,2,0,4.989733333333334,0
1735,44,1,0,8,7,0,21.229772727272724,0
1736,146,5,7,29,13,0,6.147876712328767,1
1737,40,6,1,7,2,1,6.232500000000002,0
1738,83,1,4,18,8,0,6.617951807228916,0
1739,22,0,1,4,3,0,8.19590909090909,1
1740,59,2,4,12,11,0,3.230169491525423,0
1741,148,4,11,32,11,0,6.15081081081081,1
1742,11,0,0,0,3,0,8.205000000000002,1
1743,10,1,0,2,2,0,6.177999999999997,1
1744,43,1,2,7,5,0,1.9087209302325583,1
1745,38,6,1,7,4,0,7.901578947368421,1
1746,22,4,1,5,3,0,1.076666666666668,1
1747,59,0,2,15,4,0,5.423644067796612,0
1748,71,1,2,13,6,1,4.908028169014088,1
1749,20,1,0,4,3,0,5.942499999999999,1
1750,22,0,0,5,2,0,6.763636363636362,1
1751,134,6,7,30,19,0,9.103905472636818,0
1752,16,1,2,6,0,0,4.232500000000002,0
1753,71,6,3,14,8,0,3.326666666666668,0
1754,41,4,1,8,0,0,2.749918699186992,1
1755,17,1,1,2,3,0,8.126470588235293,1
1756,163,13,5,36,9,0,1.0771851317214,1
1757,20,2,1,3,2,0,8.587500000000002,1
1758,22,0,3,7,1,0,4.194545454545455,1
1759,121,6,3,22,10,0,9.439386068476978,1
1760,35,1,2,9,6,0,3.6690000000000005,1
1761,21,2,3,7,1,0,-1.6014285714285705,0
1762,46,2,2,11,6,2,2.21478260869565,1
1763,16,0,1,4,1,0,5.704374999999999,0
1764,32,1,1,8,2,0,4.942499999999999,1
1765,21,1,1,5,4,0,8.35857142857143,1
1766,123,8,5,27,13,0,9.23,0
1767,15,0,0,2,2,0,4.3089999999999975,1
1768,77,4,1,20,10,0,2.297445887445889,0
1769,21,0,0,6,2,0,6.248571428571427,1
1770,128,8,5,22,11,0,10.232544642857142,0
1771,217,12,12,63,4,0,4.508847926267283,1
1772,26,1,1,6,4,0,8.438846153846157,1
1773,19,0,1,4,2,0,9.636842105263156,1
1774,82,6,3,18,7,0,8.07987804878049,0
1775,124,6,5,23,13,0,8.128352534562211,1
1776,10,0,0,1,1,0,9.945999999999998,1
1777,24,2,0,3,5,0,7.923750000000002,1
1778,35,1,1,7,3,0,6.563714285714287,1
1779,122,5,4,21,18,0,12.466885245901643,1
1780,74,6,4,16,5,0,8.08846846846847,0
1781,45,2,2,11,5,0,3.235333333333333,0
1782,53,2,5,12,3,0,3.687547169811321,0
1783,71,2,0,16,8,0,7.877112676056338,1
1784,31,1,1,4,4,0,1.4216129032258067,1
1785,28,2,1,7,2,0,8.110714285714284,1
1786,44,1,0,6,4,0,5.265000000000001,1
1787,36,1,0,4,7,0,9.41916666666667,1
1788,203,12,4,40,11,0,5.124884425918907,1
1789,98,10,3,20,6,0,3.702278911564626,0
1790,43,4,1,6,4,1,2.675465116279071,1
1791,36,0,4,7,4,0,3.270000000000003,0
1792,58,2,2,13,7,0,4.517126436781606,1
1793,112,5,3,24,8,0,3.178214285714283,0
1794,33,1,0,7,2,0,7.08727272727273,1
1795,40,4,1,9,2,0,0.7433333333333323,1
1796,44,4,2,11,6,0,2.816515151515148,1
1797,120,6,3,18,15,1,8.179428571428573,0
1798,209,8,10,38,12,0,3.513068181818184,0
1799,57,0,2,10,9,0,5.919473684210526,1
1800,64,3,5,18,8,0,2.9268750000000026,0
1801,128,8,10,33,5,0,5.446796875,0
1802,12,0,0,4,1,0,8.120000000000001,1
1803,56,4,3,13,4,0,3.7669642857142875,1
1804,9,0,0,1,2,0,11.330000000000005,1
1805,33,0,4,5,7,0,-1.0027272727272702,0
1806,27,1,0,4,2,0,6.271111111111111,1
1807,103,3,5,23,10,0,9.676310679611653,1
1808,21,1,1,5,2,0,0.9100000000000001,1
1809,21,2,2,4,1,0,0.4171428571428599,1
1810,126,8,5,22,15,0,10.713571428571434,0
1811,111,4,4,19,15,0,8.908918918918918,0
